FRANKLIN,NC,53478,35428025A.jpg,34091,N,9/28/2015,11:00 AM,Franklin County Courthouse 102 S Main St,"Louisburg, NC 27549",98076,00:00.0,8/31/2015,cynthia.shaffer@stl.usda.gov,"Property Sold AS-IS. Information provided is correct to the best of our knowledge.  USDA does not warranty or guarantee the property estimated value of $98,076.  If you have any questions about the sale or any upset bids, please contact Clerk of Court at 919-497-4200 and reference 15SP123.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All sales are subject to postponement or cancellation at any time.  It is recommended that you contact the USDA/Rural Development office the day before the sale to ensure that it is still scheduled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,null,null,null,null,null,,Septic,Community,3,2,Crawlspace,35,1 car attached,x, ,1264,10 Saddletree Dr,Franklinton,27525,35428025,4,34,null,Ranch,6,Forced Air,Central Air,1195,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,
MILLER,GA,53479,995541A.jpg,11137,N,10/6/2015,1:00 PM,Miller County Courthouse,"Colquitt, GA 39837",29588,00:00.0,8/31/2015,dorothy.farmer@stl.usda.gov,,null,null,null,null,null,,Sewer,Community,3,1.5,Slab,100,1 car attached,24829, ,1061,209 Phillips St,Colquitt,39837,995541,35,11,null,Ranch-Brick,6,Forced Air,Central Air,822,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ROCKINGHAM,NH,53641, ,30008,N,10/22/2015,10:00 AM,4 Bruin Ln,"Raymond, NH 03077",0,00:00.0,9/18/2015,patricia.endraske@stl.usda.gov,Property is sold AS-IS. Information is correct to the best of our knowledge.USDA does not guarantee or warranty the property.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,null,null,null,null,null,,Septic,Well,2,2.5, ,8,1 car attached,x, ,1364,4 Bruins Ln,Raymond,3077,37031805,10,30,null,Condominium-Frame,4,Forced Air,Central Air,3761,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,
OUACHITA,AR,53604,13678237A.jpg,4035,N,10/6/2015,10:00 AM,Ouachita County Courthouse Front Door entrance,"Camden, ARKANSAS 71701",1000,00:00.0,9/14/2015,william.lambert@stl.usda.gov,Property sold AS-IS. USDA DOES NOT guarantee information nor does it warranty the condition of the home. All sales are subject to postponement or cancellation at any time. It is recommended that you contact the USDA/Rural Development office the day before the sale to ensure that it is still scheduled.,null,null,null,null,null,,Sewer,Community,3,1,Full,52,1 car attached,20800,Block,1222,541 CRESTWOOD,CAMDEN ,71701,13678237,66,4,null,Ranch-Frame,5,Forced Air,N/A,385,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BUTLER,AL,53457,491427A.jpg,1066,N,10/8/2015,11:00 AM,700 Court Square,Greenville AL 36037,2494,00:00.0,8/29/2015,francine.brown@stl.usda.gov,PROPERTY SOLD AS IS,null,null,null,null,null,,Septic,Community,3,1,Slab,7,N/A,x,Slab,1040,264 Butler Est,Greenville,36037,491427,37,1,null,Ranch-Frame,5,Other,Other,74,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
EMMET,MI,53458,4855836A.jpg,31039,N,10/1/2015,11:00 AM,200 Division Street,Petoskey MI,6740,00:00.0,8/29/2015,lynne.dicarlo@stl.usda.gov,"The sale is to be held in the Emmet County Circuit Courthouse in Petoskey, Michigan. Ejectment will be at the sole cost of buyer. Property is vacant. Estimated value is $24,500. USDA DOES NOT guarantee information nor does it warranty the condition of the home. Property will be sold in AS-IN condition. For more information about United States Foreclosure Sales, contact USDA Rural Development at 1-800-349-5097 ext 4500.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,null,null,null,null,null,,Septic,Well,3,1,Crawlspace,24,2 car detached,1.4 ac,Block,1152,1602 West Conway Road,Harbor Springs,49740,4855836,45,23,null,Ranch-Frame,6,Baseboard,Window Unit,1001,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,
BULLITT,KY,53462,16572246A.jpg,18047,N,10/22/2015,11:00 AM,343 Tecumseh Drive,"Shepherdsville, KY 40165",67135,00:00.0,8/29/2015,vickie.jones2@stl.usda.gov,Open house will be held 10/15/15 from 11:00 to 12:00 pm,null,null,null,null,null,,Septic,Community,3,2,Crawlspace,15, ,16120,Block,1059,343 Tecumseh Drive,Shepherdsville,40165,16572246,15,18,null,Ranch-Frame,5,Forced Air,Central Air,968,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CHEATHAM,TN,53486,6814778A.jpg,43019,N,10/22/2015,10:00 AM,South door of Cheatham County Courthouse,Ashland City TN ,21055,00:00.0,9/1/2015,pauline.moore@stl.usda.gov,10% of bid price is required as non-refundable deposit. PROPERTY SOLD-AS-IS. RURAL DEVLOPMENT DOES not gurarantee nor does warranty the condition of the property.,null,null,null,null,null,,Sewer,Community,3,2,Crawlspace,11,N/A,x,Slab,1008,121 N. Poole Street,Ashland City,37015,6814778,30,43,null,Ranch-Frame,5,Forced Air,Central Air,509,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
KNOX,OH,53521,7124A.jpg,36076,N,10/2/2015,10:00 AM,KNOX COUNTY,MT VERNON OHIO,46667,00:00.0,9/4/2015,jana.odell@oh.usda.gov,,null,null,null,null,null,,Sewer,Community,3,1.5,Slab,42,1 car attached,10508,Slab,1272,201 SHIRLEY AVE,MT VERNON,43050,7124,47,36,null,Ranch-Frame,5,Forced Air,Central Air,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
DELAWARE,OH,53524,8611A.jpg,36032,N,10/7/2015,10:00 AM,DELAWARE COUNTY,DELAWARE OHIO,60000,00:00.0,9/4/2015,jana.odell@oh.usda.gov,,null,null,null,null,null,,Sewer,Community,2,1,Full,21,N/A,8059,Block,988,387 QUINN ST,GALENA,43021,8611,55,36,null,Ranch-Frame,4,Forced Air,Central Air,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
FAIRFIELD,OH,53526,7652A.jpg,36084,N,10/9/2015,11:00 AM,FAIRFIELD COUNTY,LANCASTER OHIO,96000,00:00.0,9/4/2015,jana.odell@oh.usda.gov,,null,null,null,null,null,,Septic,Well,3,2,Partial,23,2 car attached,1.54 AC,Block,1164,8275 FOSNAUGH SCHOOL RD,STOUTSVILLE,43154,7652,42,36,null,2 Story-Frame,5,Forced Air,Central Air,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
POWELL,KY,53534,4477162A.jpg,18103,N,10/22/2015,11:00 AM,386 First Street,"Clay City, KY  40312",18090,00:00.0,9/8/2015,vickie.jones2@stl.usda.gov,Open house will be held on 10/15/15 from 10:00am -11:00am,null,null,null,null,null,,Sewer,Community,3,1,Crawlspace,99,N/A,14256,Block,1625,386 First Street,Clay City,40312,4477162,37,18,null,Ranch-Brick,7,Baseboard,N/A,391,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
SCOTT,MS,53535,250623872A.jpg,BRANDON,N,10/5/2015,11:00 AM,South Front Courthouse,Forest MS  ,2849,00:00.0,9/17/2015,carolyn.graham@ms.usda.gov,"House is vacant.  A tree has fallen on one corner, but no damage is visible.",250623872B.jpg,250623872C.jpg,250623872D.jpg,250623872E.jpg,null,,Septic,Community,3,1, ,62, ,1 acre,Poured,1199,82 Tadpole Road,Forest,39074,250623872,32,25,null,Ranch-Brick,5,Forced Air,Central Air,870,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
VANCE,NC,53537,32247102A.jpg,34091,N,9/23/2015,10:00 AM,"Vance County Courthouse 156 Church St, Suite 101","Henderson, NC 27536",44347,00:00.0,9/8/2015,cynthia.shaffer@stl.usda.gov,"Property Sold AS-IS. Information provided is correct to the best of our knowledge.  USDA does not warranty or guarantee the property estimated value of $44,347.  If you have any questions about the sale or any upset bids, please contact Clerk of Court at 252-430-1500 and reference 15SP95.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All sales are subject to postponement or cancellation at any time.  It is recommended that you contact the USDA/Rural Development office the day before the sale to ensure that it is still scheduled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32247102B.jpg,null,null,null,null,,Septic,Well,3,2,Crawlspace,91,N/A,x, ,1160,20 Grain Lane,Henderson,27537,32247102,10,34,null,Ranch,6,Forced Air,Central Air,1007,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,
CALDWELL,NC,53540,25055521A.jpg,34005,N,9/24/2015,12:00 PM,Caldwell County Courthouse 216 Main St NW,"Lenoir, NC 28645",72379,00:00.0,9/8/2015,cynthia.shaffer@stl.usda.gov,"Property Sold AS-IS. Information provided is correct to the best of our knowledge.  USDA does not warranty or guarantee the property estimated value of $72,379.  If you have any questions about the sale or any upset bids, please contact Clerk of Court at 828-759-3503 and reference 15SP147.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All sales are subject to postponement or cancellation at any time.  It is recommended that you contact the USDA/Rural Development office the day before the sale to ensure that it is still scheduled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,null,null,null,null,null,,Septic,Well,3,1,Full,14,N/A,x, ,1176,5035 Cross St,Granite Falls,28630,25055521,56,34,null,Ranch,6,Forced Air,Central Air,855,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,
NOME,AK,52132, ,Palmer,N,9/22/2015,11:00 AM,Courthouse,Nome AK 99762,50000,00:00.0,7/22/2015,nancy.hayes@ak.usda.gov,"For more information call 907-761-7730. Home is not vacant. Appraisal in 2008 was $228,000.",null,null,null,null,null,Nome,Sewer,Community,4,2,Crawlspace,66,N/A,5230, ,1440,114 W Kings Place,Nome,99762,36461492,32,2,null,1.5 Story-Frame,6,Baseboard,N/A,1487,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
TIPTON,TN,53532,7029339A.jpg,Jackson,N,9/30/2015,10:00 AM,Tipton County Courthouse,"Covington, TN  38019",36463,00:00.0,9/8/2015,valerie.brown@stl.usda.gov,,null,null,null,null,null,,Sewer,Community,4,2,Crawlspace,84,N/A,81x200,Poured,1234,1845 Wooten St,Covington,38019,7029339,18,43,null,Ranch-Frame,6,Forced Air,Central Air,778,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
JUANA DIAZ,PR,53533,7402493A.jpg,64-33,N,10/8/2015,10:00 AM,Salinas,751,50948,00:00.0,9/8/2015,wilson.almodovar@pr.usda.gov,# catastro:417-074-211-30-001,null,null,null,null,null,,Sewer,Community,3,1, ,33,N/A,302, ,1179,URB.Arboleda 269St.16,Salinas,751,7402493,34,64,null, ,6,N/A,N/A,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
LANE,OR,53536,12010618A.jpg,38002,N,11/4/2015,11:00 AM,"Front Steps, Courthouse, 125 East 8th Ave.","Eugene, OR",102796,00:00.0,9/11/2015,bret.dixon@or.usda.gov,"For additional information, please call 541-967-5925 Ext. 128.",null,null,null,null,null,,Sewer,Community,4,1,Crawlspace,20,1 car attached,10019,Poured,1120,600 Meadow Lane,Creswell,97426,12010618,33,38,null,Ranch-Frame,6,Baseboard,N/A,1881,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CATAWBA,NC,53539,5530613A.jpg,34049,N,9/24/2015,10:00 AM,Catawba County Courthouse 100 SW Blvd Hwy 321 S,"Hewton, NC 28658",39699,00:00.0,9/8/2015,cynthia.shaffer@stl.usda.gov,"Property Sold AS-IS. Information provided is correct to the best of our knowledge.  USDA does not warranty or guarantee the property estimated value of $39,699.  If you have any questions about the sale or any upset bids, please contact Clerk of Court at 828-695-6100 and reference 15SP269.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All sales are subject to postponement or cancellation at any time.  It is recommended that you contact the USDA/Rural Development office the day before the sale to ensure that it is still scheduled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,null,null,null,null,null,,Septic,Community,3,1,Crawlspace,18,2 car attached,x, ,920,2426 Coley Pond Rd,Newton,28658,5530613,30,34,null,Ranch,5,Other,Other,381,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,
CAGUAS,PR,52267,22824548A.jpg,64005,N,12/1/2015,10:30 AM,Fajardo,738,41244,00:00.0,8/6/2015,marilyn.feliciano@pr.usda.gov,"Property located at Urb. Celina F-14 1 St. Ceiba, P.R. Recorded at farm 820, page 27, book 26. R/E Taxes ID: 205-056-067-13-000.",null,null,null,null,null,,Sewer,Community,3,1, ,5,1 car carport,325, ,794,Celina F-14 1 Street,Cieba,735,22824548,45,64,null, ,6,N/A,N/A,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CAGUAS,PR,52268,33334140A.jpg,64005,N,12/3/2015,11:15 AM,Fajardo,738,54272,00:00.0,8/6/2015,marilyn.feliciano@pr.usda.gov,"Property located at Luis M. Cintron Community Lot #120 10 St. Fajardo, P.R. Recorded at farm 14,486, page 190, book 459. R/E Taxes ID:178-037-009-01-000.",null,null,null,null,null,,Septic,Community,3,1, ,5,1 car carport,"1,067.00", ,1415,Luis M Cintron Comm. #120,Fajardo,738,33334140,35,64,null, ,6,N/A,N/A,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CAGUAS,PR,52269,32269957A.jpg,64005,N,12/3/2015,11:00 AM,Fajardo,738,42650,00:00.0,8/6/2015,marilyn.feliciano@pr.usda.gov,"Property located at Estancias de Prado Hermoso C-7 3 St. Ceiba, P.R. Recorded at farm 8,884, page 243, book 118. R/E Taxes ID: 231-044-161-11-000.",null,null,null,null,null,,Sewer,Community,3,2, ,5,1 car carport,351, ,838,Est. de Prado Hermoso C-7,Ceiba,735,32269957,25,64,null, ,6,N/A,N/A,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
LANCASTER,PA,52270,20563568A.jpg,CSC,N,10/27/2015,11:00 AM,Lancaster County Courthouse,"Lancaster, PA 17602",36458,00:00.0,9/15/2015,cathy.diederich@stl.usda.gov,"Sale will be held at the Main Entrance of the Lancaster County Courthouse, 50 North Duke Street, Lancaster, PA 17608. Winning Bidder must present 10% of the winning bid in certified funds upon completion of sale. Property Sold AS-IS. Information provided is correct to the best of our knowledge. Ejectment is sole responsibility of buyer. USDA does not warranty or guarantee the property.",null,null,null,null,null,,Sewer,Community,3,1,Full,36,N/A,5227,Poured,1200,816 Oak Street,Denver,17517,20563568,27,39,null,Townhouse-Frame,6,Forced Air,Central Air,2871,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
MORGAN,AL,52277,21763312A.jpg,1045,N,9/24/2015,11:00 AM,Morgan Co. Courthouse,Decatur AL 35602,57839,00:00.0,8/27/2015,francine.brown@stl.usda.gov,Property Sold As Is,null,null,null,null,null,,Septic,Community,3,2, ,52,1 car attached,x,Slab,1144,11 Rolling Meadows Rd.,Hartselle,35640,21763312,14,1,null,Ranch-Frame,6,Forced Air,Central Air,264,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CLARKE,AL,53665,515798A.jpg,1002,N,10/22/2015,12:00 PM,114 Court St,"Grove Hill, AL 36451",23175,00:00.0,9/21/2015,ruth.house@stl.usda.gov,"Foreclosure sale set for October 22, 2015 at 12:00 PM at the Clarke County Courthouse.",null,null,null,null,null,,Septic,Community,3,1,Slab,13,N/A,31468,Slab,1066,12585 Walker Springs Rd,Gainestown,36540,515798,32,1,null,Ranch-Brick,5,Forced Air,Window Unit,148,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BELL,KY,52151,37279463A.jpg,18063,N,9/22/2015,11:00 AM,605 Lewis Lane,"Middlesboro, KY 40965",34840,00:00.0,7/28/2015,vickie.jones2@stl.usda.gov,"The open house will be held on Thursday, September 17, 2015 from 12:00pm to 1:00pm.  Estimated value of $52,000.  Property SOLD AS-IS.  USDA DOES NOT gurantee information nor does it warranty the condition of the home.  For more information about United States Foreclosure Sales, contact USDA Rural Development at 1-800-349-5097 ext. 4500.",null,null,null,null,null,,Sewer,Community,3,1,Crawlspace,7,1 car attached,x,Block,1338,605 Lewis Lane,Middlesboro,40965,37279463,45,18,null,Ranch-Brick,5,Forced Air,Central Air,877,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
JEFFERSON,TN,53676,31326480A.jpg,43047,N,11/5/2015,10:30 AM,South door of Jefferson County Countyhouse,Dandridge TN ,32888,00:00.0,9/22/2015,pauline.moore@stl.usda.gov,10% of bid price is required as non-refundable deposit. PROPERTY SOLD-AS-IS. RURAL DEVELOPMENT does not guarantee nor does warranty the condition of the property.,null,null,null,null,null,,Septic,Community,3,1,Slab,45,N/A,x,Slab,1098,342 Economy Circle,Dandridge,37725,31326480,30,43,null,Ranch-Frame,6,Forced Air,Central Air,679,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
SAN GERMAN,PR,52184,7315881A.jpg,64017,N,11/18/2015,2:30 PM,Ponce,731,64432.42,00:00.0,7/29/2015,marilyn.feliciano@pr.usda.gov,"Property located at Urb. Alturas de Yauco S-15 5 St. Yauco, P.R. Recorded at farm 10,772, page 10, book 305. R/E Taxes ID: 385-025-254-15-001. ",null,null,null,null,null,,Sewer,Community,3,1, ,17,1 car carport,345, ,950,Alturas de Yauco S-15,Yauco,698,7315881,29,64,null, ,6,N/A,N/A,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
SAN GERMAN,PR,53429,7322269A.jpg,64017,N,2/9/2016,10:00 AM,Ponce,731,61095,00:00.0,8/26/2015,marilyn.feliciano@pr.usda.gov,"Property located at Urb. Villas del Cafetal II K-5 Yauco, P.R. Recorded at farm 11,838, page 131, book 333. R/E Taxes ID: 361-071-457-26-000.",null,null,null,null,null,,Sewer,Community,3,1, ,17,1 car carport,349.09, ,930,Villas del Cafetal II K-5,Yauco,698,7322269,25,64,null, ,6,N/A,N/A,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
SAN GERMAN,PR,53430,7309185A.jpg,64017,N,9/29/2015,10:00 AM,Ponce,731,64154,00:00.0,8/26/2015,marilyn.feliciano@pr.usda.gov,"Property located at Urb. Alturas de Yauco K-5 Calle 7 Yauco, P.R. Recorded at farm 11,731, page 196, book 330. R/E Taxes ID: 385-025-439-10-001.",null,null,null,null,null,,Sewer,Community,3,1, ,17,1 car carport,349.7, ,874,Alturas de Yauco K-5,Yauco,698,7309185,30,64,null, ,6,N/A,N/A,0,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
LABETTE,KS,53500,38246592A.jpg,17001,N,9/25/2015,11:00 AM,Courthouse,"Oswego, KS",20000,00:00.0,9/2/2015,marilyn.dean@ks.usda.gov,Sold As Is. Subject to any unpaid real estate taxes and special assessments. Sold with a 3 month right of redemption for the borrower. Payment is due on the date of the sale.,38246592B.jpg,38246592C.jpg,38246592D.jpg,38246592E.jpg,null,,Sewer,Community,3,1,Crawlspace,50,1 car attached,75x112,Poured,1056,1400 Richard Ave,Parsons,67357,38246592,37,17,null,Ranch-Frame,5,Forced Air,Central Air,1211,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
JACKSON,KY,53442,36950275A.jpg,18063,N,11/3/2015,1:00 PM,986 Hwy 2003,"McKee, KY  40447",31490,00:00.0,8/27/2015,vickie.jones2@stl.usda.gov,Open house will be held on 10/29/15 from 1:00 to 2:00 pm,null,null,null,null,null,,Septic,Community,3,1,Crawlspace,55,2 car attached,1.84,Block,1400,986 HWY. 2003,McKee,40447,36950275,25,18,null,Ranch-Brick,5,Forced Air,Central Air,385,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
WAKE,NC,53538,37272509A.jpg,34051,N,9/23/2015,3:00 PM,"Wake County Courthouse 316 Fayetteville, St Mall","Raleigh, NC 27601",129068,00:00.0,9/8/2015,cynthia.shaffer@stl.usda.gov,"Property Sold AS-IS. Information provided is correct to the best of our knowledge.  USDA does not warranty or guarantee the property estimated value of $129,068.  If you have any questions about the sale or any upset bids, please contact Clerk of Court at 919-792-4000 and reference 15SP1716.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All sales are subject to postponement or cancellation at any time.  It is recommended that you contact the USDA/Rural Development office the day before the sale to ensure that it is still scheduled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,null,null,null,null,null,,Sewer,Community,3,2.5,Slab,92,2 car attached,x, ,1970,4212 Bay Rum Ln,Raleigh,27610,37272509,7,34,null,1.5 Story,7,Forced Air,Central Air,1606,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,
LAUDERDALE,AL,53541,31035438A.jpg,1045,N,10/29/2015,11:00 AM,102 South Court Street,"Florence, AL 35630",49537,00:00.0,9/23/2015,ruth.house@stl.usda.gov,"Foreclosure sale schedule for October 29, 2015 at 11:00 am at the Lauderdale County Courthouse.",null,null,null,null,null,,Septic,Community,3,1,Slab,39,N/A,34201,Slab,1148,750 County Road 300,Florence,35634,31035438,21,1,null,Ranch-Brick,6,Forced Air,Central Air,548,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ANGELINA,TX,53670,2535718A.jpg,44003,N,10/6/2015,10:00 AM,Hallway outside Comm Crt room - 606 E. Lufkin Ave.,"LUFKIN, TX   75901",23091,00:00.0,9/21/2015,jill.berry@tx.usda.gov,,null,null,null,null,null,,Sewer,Community,3,1, ,93,1 car carport,15000,Slab,1123,603 S. TEMPLE,DIBOLL,75941,2535718,27,44,null,Ranch-Brick,6,Forced Air,Central Air,1762,Direct, ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
